"claim_id","category","prototype_claim","pages","recommended_source","source_url","period","status","recommended_canonical","notes"
"tuition-organic-tiers","tuition","Associate $250 / bachelor $295 / master $485","organic homepage FAQ + CostEstimator","Partner/military benefit rates - not sticker","Catalog + partnership pages","Current","conflict","Label as reduced/benefit rates - not public sticker","Conflicts with $460 sticker"
"tuition-military-liberty","tuition","Military $250/credit (often labeled TA)","TuitionSection; WaysToSave; OCC","Liberty Grant","https://www.uagc.edu/military","Current","conflict","Liberty Grant $250/credit undergrad (eligible) - not generic TA","Also $350 masters; Patriot $450"
"tuition-partner-savings-4950","tuition","Academic partnerships up to $4950/year savings","TuitionSection","Live partnership footnote","https://www.uagc.edu/partnerships/academic","~2/6/24 footnote","verified_live","Keep live footnote math","Confirm rates still match footnote"
"transfer-75pct","transfer","Transfer up to 75% of bachelor credits","Paid VP-01; heroes; FAQs; OCC","Catalog residency math (90/120)","https://www.uagc.edu/sites/default/files/2025-02/2024-2025_UAGC_Academic_Catalog.pdf","2024-2025","derived_policy","Up to 90 credits (~75% of a 120-credit bachelor's)","Prefer 90-credit wording"
"transfer-90-credits","transfer","Up to 90 undergraduate transfer credits","Organic homepage; TimeToGraduation; transfer guides","Catalog + transfer guides","https://www.uagc.edu/sites/default/files/2025-02/2024-2025_UAGC_Academic_Catalog.pdf","2024-2025","verified_live","Up to 90 combined traditional + nontraditional + PLA credits","Canonical numeric claim"
"transfer-no-cap","transfer","No cap on approved bachelor transfer credits","TuitionSection","Conflicts with catalog","Catalog","","conflict","REMOVE - catalog caps at 90","Internal prototype conflict"
"transfer-residency-30","transfer","30 credits must be completed at UAGC","Implied by 75%/90","Catalog residency","Catalog PDF","2024-2025","verified_live","At least 30 credits at UAGC (residency)","Also 30 upper-division typically"
"transfer-free-eval","transfer","Free unofficial credit pre-evaluation","Paid; hub; FAQs","Admission transfer pages","https://www.uagc.edu/admission/traditional","Current","verified_live","Ask advisor for unofficial pre-evaluation","Official after transcripts"
"transfer-25-years","transfer","Credits from 25+ years ago may transfer","Paid VP PLA; OCC","Catalog - no general age limit","Catalog / traditional transfer","Current","derived_policy","May transfer subject to program rules and evaluation","Qualify exceptions"
"transfer-masters-9","transfer","Up to 9 approved credits toward masters","TimeToGraduation; live transfer","Live traditional transfer","https://www.uagc.edu/admission/traditional","Current","verified_live","Up to 9 approved credits toward a master's","Verified"
"admissions-no-tests","admissions","No SAT/ACT/GMAT/GRE required","All major pages","Live admission messaging","https://www.uagc.edu/admission","Current","verified_live","No standardized tests required","Safe"
"admissions-92pct-working","admissions","92% of students study while working","v7 / OCC VP cards","","","","unverified","","Need IR source"
"admissions-avg-30s","admissions","Average student is working adult in their 30s","FAQs","","","","unverified","","Need IR source"
"pla-6-pathways","admissions","6+ ways to earn prior-learning credit","Paid VP PLA; WaysToSave","Prior learning pages","https://www.uagc.edu/admissions/non-traditional","Current","derived_policy","Confirm pathway count with Admissions","Soft"
"accredit-wscuc","accreditation","WSCUC accredited","All pages","Accreditation page + footer","https://www.uagc.edu/about/accreditation","WSCUC letter 7/14/2023","verified_live","WSCUC-accredited (standard footer)","Safe"
"accredit-ed-chea","accreditation","WSCUC recognized by ED and CHEA","Footer; FAQs; TrustStrip","WSCUC / ED / CHEA","https://www.wscuc.org","Current","verified_live","Recognized by ED and CHEA","Safe"
"accredit-programmatic","accreditation","IACBE; CCNE; CAHIIM (+ ABET on live)","CRED-01; AccreditationBand; FAQs","Accreditation page","https://www.uagc.edu/about/accreditation","Current","verified_live","List only for programs that hold each","Do not imply all programs"
"accredit-ua-enterprise","accreditation","Part of the University of Arizona enterprise","Heroes; CRED-01; FAQs","UA affiliation page","https://www.uagc.edu/about/accreditation/university-arizona","Current","verified_live","Affiliated with University of Arizona; separately accredited","Qualify carefully"
"accredit-ua-r1","accreditation","UA is a public R1 research institution","AccreditationBand","Carnegie / UA - attribute to UA not UAGC","","Current","derived_policy","Attribute R1 to University of Arizona only","Never say UAGC is R1"
"accredit-peer-names","accreditation","Same accreditor as Stanford/UCLA","OCC only","","","","conflict","REMOVE peer university names","Brand rule"
"accredit-yellow-ribbon","accreditation","Yellow Ribbon school","Default FAQ","Military benefits","https://www.uagc.edu/military","Current","verified_live","Yellow Ribbon school","Confirm annually"
"format-5-6-week","format","5- to 6-week courses one at a time","All major pages","Catalog + degree pages","Catalog PDF","2024-2025","verified_live","5-week undergrad; many grad 6-week","Verified"
"format-100pct-online","format","100% online","ImpactStrip; hub; FAQs","Consumer information","https://www.uagc.edu/consumer-information","Current","verified_live","100% online university","Verified"
"format-15-20-hrs","format","15-20 hours per week","OCC / hub FAQs","Common adult-learner estimate","","","derived_policy","About 15-20 hours/week (typical)","Soft claim"
"format-start-3-weeks","format","Classes start every ~3 weeks","UpcomingStartDates; CTAs","Enrollment cycle","Catalog / start-date tooling","Current","verified_live","New classes about every 3 weeks","Prototype hides starts <14 days out"
"trial-3-week","format","3-week risk-free trial / UAGC Promise","OCC primary","Our Promise page","https://www.uagc.edu/tuition-financial-aid/our-promise","Current","verified_live","UAGC Promise - first 3 weeks conditions apply","De-prioritize as lead hook on v5/v7"
"support-1-1","format","1:1 student support","ImpactStrip","Advisor support model","https://www.uagc.edu/student-experience/advisor-support","Current","derived_policy","Dedicated Admission Specialist + Academic Advisor","Not a published 1:1 stat"
"programs-50plus","scale","50+ online programs","Paid TrustStrip; hub","Homepage","https://www.uagc.edu/","Current","verified_live","50+ degree programs","Prefer this"
"programs-54plus","scale","54+ programs","Organic hero/FAQ; ProgramExplorer","Prototype catalog count","program-data.ts","Snapshot","conflict","Prefer 50+ unless audit confirms 54+","Align counts"
"alumni-95k","scale","95000+ alumni","ImpactStrip","","","","outdated_vs_live","135000 graduates (employers page)","Replace or drop"
"alumni-135k","scale","135000 graduates","Recommended replacement","Career services employers page","https://www.uagc.edu/student-experience/career-services/employers","Current","verified_live","135000 graduates","Preferred"
"career-handshake-98k","career","98000+ employers on Handshake","CRED-01; CareerOutcomes; FAQs","Press release Feb 2026","https://www.uagc.edu/about/media-room/press-releases/uagc-connects-students-and-alumni-nearly-100000-employers-through","2026-02-25","verified_live","98000+ employers on Handshake","Verified"
"career-lifetime","career","Lifetime career services","CRED-01; FAQs; hub","Alumni + career services","https://www.uagc.edu/student-experience/alumni","Current","verified_live","Lifetime career coaching - no placement guarantee","Safe with qualifier"
"career-salary-bands","career","Hardcoded field salary ranges $45K-$115K","Paid + hub CareerOutcomes","Prefer BLS OOH or Lightcast","","","unverified","","Hardcoded; not Lightcast-wired"
"salary-tier-table","salary","Without degree $35K -> Assoc $48K / Bach $65K / Master $78K","request-info-v5; degree-programs-v7","BLS CPS Education pays 2024","https://www.bls.gov/careeroutlook/2025/data-on-display/education-pays.htm","2024 CPS","conflict","Recalculate from BLS 2024 medians + inline links","Numbers understate BLS"
"salary-lifetime-1-2m","salary","$1.2M+ lifetime earnings increase bachelor vs HS","SalaryGrowthSection","Georgetown CEW lifetime methodology","https://cew.georgetown.edu/","College Payoff research","derived_policy","Cite CEW separately from BLS median line","Not a single BLS line item"
"salary-field-roles","salary","Field role medians e.g. health services mgr $88K","SalaryGrowthSection","BLS OOH","https://www.bls.gov/ooh/","May 2024 OEWS","conflict","Update to current OOH + link inline","Prototype below OOH"
"emot-87-career","emotional","87% pursued degree for career growth","request-info-v5; v7","","","","unverified","","Need survey source"
"emot-73-earn-more","emotional","73% earn more within 2 years of graduating","Paid EMOT","","","","unverified","","Need survey source"
"emot-92-recommend","emotional","92% would recommend UAGC","Paid EMOT","","","","unverified","","Need survey source"
"testimonial-illustrative","testimonial","Persona quotes e.g. $22K raise","Paid TestimonialSection","Comms approval required","","","testimonial","Illustrative unless approved graduate quotes","Confirm rights"
"blog-forbes-3-1pct","blog","Doctoral conferrals 3.1% YoY since 2020","Blog article","Forbes (named in copy)","","Confirm article","unverified","Re-verify Forbes cite","Confirm before publish"
